"id","benefit_id","name","type","masterdata_table","use_masterdata","masterdata_table_key","masterdata_table_value","masterdata_table_condition","validation_rules","error_messages","options","order","use_prefilled_data","prefilled_data_type","prefilled_vault_data_key","prefilled_worker_data_table","prefilled_worker_data_key","use_masterdata_value","masterdata_value_table","masterdata_value_table_key","masterdata_value_table_value","is_required","is_readonly","is_hidden","is_disabled","is_dependent_field","dependent_field_id","dependent_field_value","status","created_at","updated_at","deleted_at"
"65","3","details_of_benefit_received_from_govt_or_institution_if_any","text",NULL,NULL,NULL,NULL,NULL,"{""required"":false}","{""required"":""This field is optional""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 06:59:30","2025-07-08 06:59:30",NULL
"66","3","pending_loan_or_advance_amount_remains_to_be_recovered","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 07:00:56","2025-07-08 07:00:56",NULL
"67","3","bank_name","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 07:01:58","2025-07-08 07:01:58",NULL
"68","3","bank_branch_name","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 07:03:19","2025-07-08 07:03:19",NULL
"69","3","account_number","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 07:04:15","2025-07-08 07:04:15",NULL
"70","3","confirm_account_number","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 07:05:03","2025-07-08 07:05:03",NULL
"71","3","mobile_number","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,True,2,NULL,"main_worker_forms","phone_no",False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 07:06:06","2025-07-08 07:06:06",NULL
"72","3","photocopy_of_account_paybook","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 07:07:47","2025-07-08 07:07:47",NULL
"73","3","employer_certificate_on_accident","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-08 07:08:33","2025-07-08 07:08:33",NULL
"74","4","university_or_board_where_admitted","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:39:54","2025-07-09 08:39:54",NULL
"75","4","name_of_course","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:40:47","2025-07-09 08:40:47",NULL
"76","4","number_of_years_of_course","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:41:48","2025-07-09 08:41:48",NULL
"77","4","date_of_admission_in_the_course","date",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:43:07","2025-07-09 08:43:07",NULL
"78","4","name_of_student","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:43:56","2025-07-09 08:43:56",NULL
"79","4","age_of_student","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:44:47","2025-07-09 08:44:47",NULL
"80","4","date_of_birth_of_student","date",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:46:13","2025-07-09 08:46:13",NULL
"81","4","name_and_address_of_parent_of_student","textarea",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:47:59","2025-07-09 08:47:59",NULL
"83","4","whether_father_or_mother_or_both_are_registered_beneficiary_under_the_welfare_board","select",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}","[""select"","" yes"","" no""]",0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:53:00","2025-07-09 08:53:00",NULL
"84","4","date_of_payment_of_last_contribution","date",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:55:06","2025-07-09 08:55:06",NULL
"85","4","name_of_bank","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:55:51","2025-07-09 08:55:51",NULL
"86","4","branch","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:56:23","2025-07-09 08:56:23",NULL
"87","4","ifsc_code","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:57:01","2025-07-09 08:57:01",NULL
"88","4","account_number","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:58:34","2025-07-09 08:58:34",NULL
"89","4","confirm_account_number","text",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 08:59:31","2025-07-09 08:59:31",NULL
"90","4","affidavit_of_parent_needs_to_be_uploaded","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 09:00:53","2025-07-09 09:00:53",NULL
"91","4","photocopy_of_bank_pay_book","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 09:01:36","2025-07-09 09:01:36",NULL
"92","4","caste_certificate_of_student","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 09:02:26","2025-07-09 09:02:26",NULL
"93","4","attested_copy_of_pass_certificate_from_the_head_of_the_institution","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 09:03:17","2025-07-09 09:03:17",NULL
"94","4","attested_copy_of_certificate_from_the_head_of_the_institution_stating_that_he_or_she_is_studying_in_the_institution","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 09:04:45","2025-07-09 09:04:45",NULL
"95","4","attested_copy_of_admission_slip","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 09:05:32","2025-07-09 09:05:32",NULL
"96","4","attested_copy_of_marksheet_of_the_exam","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 09:06:23","2025-07-09 09:06:23",NULL
"97","4","student_photograph","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 09:06:55","2025-07-09 09:06:55",NULL
"98","4","student_thumb_impression_or_signature","file",NULL,NULL,NULL,NULL,NULL,"{""required"":true}","{""required"":""This field is required""}",NULL,0,False,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,False,False,False,False,False,NULL,NULL,True,"2025-07-09 09:08:51","2025-07-09 09:08:51",NULL
