"id", "name_of_pfc", "pfc_name", "postal_address", "pin_code", "nearby_landmark", "latitude", "longitude","district_code"
105,"Hojai", Lumding Municipal Board, "Atrina Ram Road, Back Side Of Lumding Police Station, Lumding, Hojai",782447,"Back Side Of Lumding Police Station","25.7525","93.1747","709"
106,"Hojai", Udali Development Block, "Lanka, Bamungaon",782446,,"25.9059","92.9864","709"
107,"Hojai", Binakandi Development Block, "Binakandi Dev. Block, Doboka, Ward No-10, Near-Haji Anfar Ali College Road, P.O & P.S- Doboka",782440,"Near-Haji Anfar Ali College Road, P.O & P.S- Doboka","26.1134","92.8553","709"
108,"Hojai", Hojai Municipal Board, "Hojai Municipality Board, Notun Bojar Near Police Station, Hojai-",782435,"Notun Bojar Near Police Station",0.9996,92.8527,"709"
109,"Hojai", "Dhalpukhuri Development Block", "Dhalpukhuri Block, Hojai",782435,,"25.9943",92.8448,"709"
110,"Hojai", Jugijan Development Block, "Jugijan Dev Block Office, Sati Jaymati Road, Adarsha Bazar, Hojai",782435,,"26.0118",92.8604,"709"
111,"Hojai", Sub-Registrar Office, "Sub-Registrar Office, Hojai, Po & Ps—Hojai",782435,"Hojai Sub-Registrar Office",26.0109,92.8622,"709"
112,"Hojai", District Agricultural Office, "Office Of The District Agricultural Officer, Sib-Bari Road, Hojai",782435,"District Agricultural Office",25.9961,92.8511,"709"
113,"Jorhat", Jorhat Municipality Board, "Unnayan Super Market, 3rd Floor, Jorhat (Assam)",785001,"Near SBI",26.759699,94.207152,"290"
114,"Jorhat", Mariani Circle Office, "Mariani, Jorhat (Assam)",786634,"Near Adarsh Hindi School",26.657547,94.31971,"290"
115,"Jorhat", Titabor Dev Block, "Titabor Dev. Block, Jorhat (Assam)",785630,"Near Titabar Stadium",26.596237,94.202747,"290"
116,"Jorhat", "North West Dev Block, Dhekorgorah", "Desaikash Bamun Gaon, Jorhat (Assam)",785015,"Near Malow Ali HS School",26.774153,94.18037,"290"
117,"Jorhat", Teok Circle Office, "Teok, Jorhat (Assam)",785112,"Near Teok Town Committee Office",26.83175,94.41284,"290"
118,"Jorhat", Kaliapani Dev Block, "Kaliapani Dev Block, Kaliapani, Gohain Gaon, Jorhat (Assam)",785112,"Near Jetuki Konwar Jatiya Vidyalay",26.842473,94.457601,"290"
119,"Jorhat", "Central Development Block, Chipahikhola", "Central Development Block, Chipahikhola, Jorhat (Assam)",785700,"Near Chipahikhola Market",26.799306,94.337339,"290"
120,"Jorhat", "Jorhat Development Block, Bagchung", "Jorhat Development Block, Po- Cinnamara, Jorhat (Assam)",785008,"Near Lichu Bari Outpost",26.715451,94.213615,"290"
121,"Jorhat", "Jorhat East Development Block", "Jorhat East Development Block, Selenghat, Jorhat (Assam)",785636,"Near Selenghat HS School",26.792898,94.479703,"290"
122,"Jorhat", "DTO, Jorhat","Rajabari, Jorhat (Assam)",785014,"Near Rajabari Post Office",26.7444603,94.223339,"290"
123,"Jorhat", "70 No Madhya Khangia GP, Jorhat", "Pakamura, Jorhat, Po- Pakamura",785004,"Near Pokamura HS School",26.700745,94.147011,"290"
124,"Jorhat", "89 No Borholla GP", "Borholla, Po — Borholla, Jorhat (Assam)",785631,"Near Borholla HS School",26.452279,94.132651,"290"
125,"Kamrup Metro", "Guwahati Metropolitan Development Authority Bhangagarh", "GMC Road, Staffed Building, Bhangagarh, Guwahati",781005,"GMC Road Staffed Building",26.16183,91.76746,"618"
126,"Kamrup Metro", "Paribahan Bhawan, Khanapara, Guwahati", "Paribahan Bhawan, Khanapara, Guwahati", "781022", "Near Nh And Health City Hospital", "26.1175", "91.8111","618"
127,"Kamrup Metro", "District Transport Office, Betkuchi, Guwahati", "District Transport Office, Betkuchi, Guwahati", "781040", "Near Honda Showroom", "26.112744", "91.7311744","618"
128,"Kamrup Metro", "Directorate of Health Services, Hengerabari", "Directorate Of Health Services, Hengerabari", "781036", "Near Dc Office Kamrup Metro", "26.1516", "91.79675","618"
129,"Kamrup Metro", "Directorate of Inland Water Transport (AIWTD), Ulubari, Guwahati", "Directorate Of Inland Water Transport (AIWTD), Ulubari, Guwahati", "781007", "Near Ulubari Flyover", "26.174552", "91.7586184","618"
130,"Kamrup Metro", "Directorate of Employment and Craftsmen Training, Assam, Rihabari, Guwahati", "Directorate Of Employment And Craftsmen Training, Assam, Rihabari, Guwahati", "781008", "Ak Aad Road", "26.172679", "91.748437","618"
131,"Kamrup Metro", "The BDO, Chandrapur Development Block, Rajgarh, Kamrup Metro", "Chandrapur Development Block Office, Rajgarh, Kamrup Metro", "", "Near Rajgarh Chowk Tiniali", "26.2351038", "91.93799031","618"
132,"Kamrup Metro", "The BDO, Dimoria Development Block, Sonapur", "Dimoria Development Block, Sonapur", "782401", "Near National Highway", "26.117391", "91.964756","618"
133,"Kamrup Metro", "Maloibari Gaon Panchayat Office, Maloibari", "Maloibari Gaon Panchayat Office, Maloibari", "782403", "Near Maloibari Bishnu Mandir", "26.17592", "92.123127","618"
134,"Kamrup Metro", "37 No Ranigaon Panchayat, Vill-Batabari, P.O - Rani, Kamrup, Assam", "37 No Ranigaon Panchayat, Vill-Batabari, P.O - Rani, Kamrup, Assam", "781131", "Near Batabari", "26.038458", "91.580266","618"
135,"Kamrup Metro", "Directorate of Social Welfare, Kachari Ghat, Guwahati", "Directorate Of Social Welfare, Kachari Ghat, Guwahati", "781008", "Near Uzan Bazar", "26.1923", "91.7518","618"
136,"Kamrup Metro", "Dispur Revenue Circle, Nh27, Basista Chariali, Guwahati", "Dispur Revenue Circle, Nh27, Basista Chariali, Guwahati", "781028", "Near Basista Ps", "26.112607", "91.79407","618"
137,"Kamrup Rural", "Bezera Block Office, Vill— Bezera, P.O—Bezera, P.S—Baihata Chariali", "Vill— Bezera, P.O—Bezera, P.S—Baihata Chariali", "781121", "Near Bezera H.S School", "26.338273", "91.781861","291"
138,"Kamrup Rural", "Bidhia Jajikona Block Office, Vill- Jajikona, Po-Bihdia, Ps-Baihata Chariali", "Vill- Jajikona, Po-Bihdia, Ps-Baihata Chariali", "781381", "Near Bihdia Phc (Medical)", "26.399228", "91.728486","291"
139,"Kamrup Rural", "Boko Block Office, Vill- Pakharapara(Boko Bazzar), P.O -Boko, P.S-Boko", "Vill- Pakharapara(Boko Bazzar), P.O -Boko, P.S-Boko", "781123", "Near Singra Forest Office", "25.977444", "91.233024","291"
140,"Kamrup Rural", "Chayani Block Office, Vill- Jharobari, P.O - Jharobari P.S-Palashbari", "Vill- Jharobari, P.O - Jharobari P.S-Palashbari", "781120", "Near Assam Gramin Vikash Bank", "26.061355", "91.496986","291"
141,"Kamrup Rural", "Chaygaon Block Office, Vill- Nowapara (Champaknagar), P.O- Champaknagar, Ps-Chhaygaon", "Vill- Nowapara (Champaknagar), P.O- Champaknagar, Ps-Chhaygaon", "781124", "Near Chandika Mandir Gate", "26.056501", "91.403044","291"
142,"Kamrup Rural", "Hajo Block Office, Vill— Hajo, P.O- Hajo P.S- Hajo", "Vill— Hajo, P.O- Hajo P.S- Hajo", "781102", "Near Hajo Circle Office", "26.251971", "91.539844","291"
143,"Kamrup Rural", "Sualkuchi Block Office, Vill- Sualkuchi (Aadaboi), P.O - Sualkuchi, P.S- Sualkuchi", "Vill- Sualkuchi (Aadaboi), P.O - Sualkuchi, P.S- Sualkuchi", "781103", "Near Sericulture Office", "26.176704", "91.573727","291"
144,"Kamrup Rural", "Kamalpur Block Office, Vill- Alta, P.O- Baihata, P.S-Kamalpur", "Vill- Alta, P.O- Baihata, P.S-Kamalpur", "781380", "Near Kamalpur Revenue Circle", "26.349796", "91.683894","291"
145,"Kamrup Rural", "Rampur Block Office, Vill - Dahali (Karka), P.O - Batarhat, P.S- Palasbari", "Vill - Dahali (Karka), P.O - Batarhat, P.S- Palasbari", "781122", "Dahali Karka High School", "26.104504", "91.496263","291"
146,"Kamrup Rural", "Rangia Block Office, Town- Rangia, P.O-Rangia, P.S-Rangia", "Town- Rangia, P.O-Rangia, P.S-Rangia", "781354", "Nt Road Near By Apdcl Office", "26.43967", "91.614718","291"
147,"Kamrup Rural", "Rangia Sub-Registrar Office, Vill- Chirakhundi, P.O- Rangia, P.S- Rangia", "Vill- Chirakhundi, P.O- Rangia, P.S- Rangia", "781354", "Sdo (Civil) Rangia", "26.454931", "91.638041","291"
148,"Kamrup Rural", "Boko Sub-Registrar Office, Vill— Pakharapara (Boko), P.O— Boko, P.S— Boko", "Vill— Pakharapara (Boko), P.O— Boko, P.S— Boko", "781123", "Near Boko Revenue Circle", "25.975401", "91.230101","291"
149,"Kamrup Rural", "Rangia Circle Office, Town- Rangia, P.O-Rangia, P.S-Rangia", "Town- Rangia, P.O-Rangia, P.S-Rangia", "781354", "Nt Road Near Lic Building", "26.439167", "91.614718","291"
